,单词,词频,单词释义
887,memorize,1,"v.[亦作memorise]记住,记忆"
888,mental,29,"adj.精神的,智力的"
889,mention,7,"vt.提及,说起;n.提及,说起;v.论及,提及"
890,mere,6,"adj.仅仅的,起码的,纯粹的"
891,merely,5,"adv.仅仅,只,不过"
892,merge,2,"v.合并,并入,结合,吞没,融合"
893,merry,1,"adj.欢乐的,愉快的"
894,metallic,2,adj.金属(性)的
895,metric,1,"adj.米制的,公制的"
896,migrate,3,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙;vt.使移居,使移植"
897,military,8,"adj.军事的,军用的"
898,millionaire,1,"n.百万富翁,大富豪"
899,miniature,1,"n.缩小的模型,缩图,缩影;adj.微型的,缩小的"
900,minimize,1,vt.将...减到最少;v.最小化
901,minister,1,"n.部长,大臣"
902,minor,9,"n.未成年人,副修科目;adj.较小的,次要的,二流的,未成年的;vi.辅修;n.[乐]小调,小音阶"
903,minority,3,"n.少数,少数民族"
904,miserable,1,"adj.痛苦的,悲惨的,可怜"
905,misfortune,1,"n.不幸,灾祸"
906,mislead,1,vt.误导
907,missing,21,"adj.不见的,缺少的"
908,mission,5,"n.使命,任务,使团,代表团"
909,misunderstand,1,"vt.误解,误会"
910,mobile,18,"adj.可移动的,易变的,机动的;n.运动物体"
911,moderate,2,"adj.中等的,适度的,适中的;v.缓和"
912,moist,1,adj.潮湿的;n.潮湿
913,molecule,1,"n.[化]分子,些微"
914,monitor,2,"n.班长,监听器,监视器,监控器;vt.监控;v.监控"
915,mood,13,"n.心情,情绪,语气,状态"
916,moral,9,"n.怪物,妖怪"
917,mortgage,1,n.抵押;v.抵押
918,motion,4,"n.运动,动作;v.运动"
919,motive,1,"n.动机,目的;adj.发动的,运动的"
920,mount,2,"n.乘用马,衬纸,山,装配;vi.乘马,爬上,增长;vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
921,muddy,1,"adj.多泥的,泥泞的"
922,multiple,10,"adj.多样的,多重的;n.倍数,若干;v.成倍增加"
923,multiply,2,"v.繁殖,乘,增加"
924,murder,2,"n.谋杀,凶杀;vt.谋杀,凶杀;v.谋杀"
925,muscle,3,"n.肌肉,臂力,(可供食用的)瘦肉,[解]肌"
926,museum,2,n.博物馆
927,musician,1,n.音乐家
928,mutual,7,"adj.相互的,共有的"
929,mysterious,5,adj.神秘的
930,myth,5,"n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法"
931,naked,2,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
932,namely,2,"adv.即,也就是"
933,narrative,6,adj.叙述性的;n.叙述
934,nasty,3,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
935,naturally,8,adv.自然地
936,naval,2,adj.海军的
937,navy,1,n.海军
938,necessarily,14,adv.必要地
939,necessity,2,"n.必要性,需要,必需品"
940,negotiate,3,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
941,nerve,2,"n.神经,胆量,勇气,叶脉;vt.鼓起勇气"
942,network,16,"n.网络,网状物,广播网"
943,neutral,2,"n.中立者,中立国,非彩色,齿轮的空档;adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
944,nickname,1,"n.诨号,绰号,昵称;vt.给...取绰号,给...起浑名"
945,nitrogen,2,n.[化]氮
946,nonetheless,2,"adv.虽然如此,但是"
947,nonsense,2,"n.胡说,废话"
948,norm,1,"n.标准,规范"
949,normally,5,"adv.正常地,通常地"
950,notation,3,n.符号
951,noticeable,4,"adj.显而易见的,值得注意的"
952,notify,1,v.通报
953,novelty,1,"n.新颖,新奇,新鲜,新奇的事物"
954,nuclear,11,"adj.[核]核子的,原子能的,核的,中心的"
955,numerical,1,"adj.数字的,用数表示的;adj.数字的,用数字表示的"
956,nursery,1,n.托儿所
957,nutrition,7,"n.营养,营养学"
958,nylon,2,n.尼龙
959,object,2,"n.物体,目标,宾语,对象;vi.反对,拒绝,抗议;vt.提出...来反对"
960,objective,3,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格;adj.客观的,[语法]宾格的"
961,obligation,3,"n.义务,职责,债务"
962,observation,3,"n.观察,观测,观察资料(或报告)"
963,obstacle,4,"n.障碍,妨害物"
964,obvious,8,"adj.明显的,显而易见的"
965,occasion,5,"n.场合,时机,机会"
966,occasional,1,"adj.偶然的,非经常的,特殊场合的,临时的"
967,occupy,1,"vt.占,占用,占领,占据"
968,occurrence,2,"n.发生,出现,事件,发生的事情"
969,offend,1,"v.犯罪,冒犯,违反,得罪,使...不愉快"
970,official,4,"n.官员,公务员;adj.职务上的,公务的,官方的,正式的"
971,offset,1,"n.偏移量,抵销,弥补,分支,平版印刷,胶印;vt.弥补,抵销,用平版印刷;vi.偏移,形成分支"
972,opening,6,"n.开,开放,开始,口子,穴,通路,空缺,机会;adj.开始的,开幕的"
973,opera,1,n.歌剧
974,operational,1,"adj.操作的,运作的"
975,opportunity,14,"n.机会,时机"
976,oppose,1,"vt.反对,使对立,使对抗,抗争;vi.反对"
977,optimism,6,"n.乐观,乐观主义"
978,option,6,"n.选项,选择权,[经]买卖的特权"
979,optional,2,"adj.可选择的,随意的"
980,orbit,4,"n.轨道,势力范围,生活常规,眼眶;vt.绕...轨道而行;vi.进入轨道,沿轨道飞行,盘旋"
981,organic,7,"adj.器官的,有机的,组织的,建制的"
982,organization,6,"n.组织,机构,团体"
983,organize,6,"n.生物体,有机体"
984,origin,4,"n.起源,由来,起因,出身,血统,[数]原点"
985,original,3,"adj.最初的,原始的,独创的,新颖的;n.原物,原作"
986,originate,2,"vt.引起,发明,发起,创办;vi.起源,发生"
987,outbreak,1,"n.(战争的)爆发,(疾病的)发作"
988,outer,9,"adj.外部的,外面的,远离中心的;n.(射击)环外命中"
989,outlet,1,"n.出口,出路"
990,outlook,1,"n.景色,风光,观点,见解,展望,前景"
991,outset,1,"n.开端,开始"
992,outstanding,1,"adj.突出的,显著的"
993,oval,1,"adj.卵形的,椭圆的;n.卵形,椭圆形"
994,overall,20,"adj.全部的,全面的"
995,overcome,5,"vt.战胜,克服,胜过,征服;vi.得胜"
996,overnight,3,"n.头天晚上;adj.通宵的,晚上的,前夜的;adv.在前一夜,整夜,昨晚一晚上"
997,overseas,23,"adv.海外;adj.外国的,海外的"
998,overtake,5,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
999,overwhelming,3,"adj.压倒性的,无法抵抗的"
1000,owe,1,"vt.欠(债等),受到...的思想,感激,把...归功于;v.欠,应感激,应该把…归功于(to);vi.欠钱"
1001,owner,15,"n.所有者,业主"
1002,ownership,4,"n.所有权,物主身份"
1003,oxygen,5,n.[化]氧
1004,pace,11,"n.(一)步,速度,步调,步法,步态;vi.踱步,缓慢的走;vt.用步测,踱步于,(马)溜花蹄"
1005,pack,7,"n.包裹,<贬>一群,一副,背包,包装;vt.包装,捆扎,塞满,压紧,挑选;vi.包装货物,挤,群集,被包装;背包"
1006,painful,9,"adj.疼痛的,使痛苦的"
1007,painter,6,"n.画家,油漆匠"
1008,panel,1,"n.面板,嵌板,仪表板,座谈小组,全体陪审员;vt.嵌镶板"
1009,pants,7,"n.裤子,短裤"
1010,parade,1,"n.游行,炫耀,阅兵,检阅,阅兵场;v.游行,炫耀,夸耀,(使)列队行进"
1011,paradox,2,"n.似非而是的论点,自相矛盾的话"
1012,parallel,1,"adj.平行的,相同的,类似的,并联的;n.平行线,平行面,类似,相似物;v.相应,平行"
1013,parcel,1,"n.小包,包裹;vt.打包,捆扎"
1014,participant,1,"n.参与者,共享者;adj.参与的"
1015,particularly,27,"adv.独特地,显著地"
1016,partner,11,"n.合伙人,股东,舞伴,伴侣;vt.与...合伙,组成一对;vi.做伙伴,当助手"
1017,passion,1,"n.激情,热情"
1018,passive,1,adj.被动的
1019,pat,2,"n.轻拍,(黄油)小块;v.轻拍;adv.适时,正好,恰好;adj.恰好的,合适的,人为的"
1020,patch,1,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
1021,patience,10,"n.耐性,忍耐"
1022,patient,10,"n.病人,患者;adj.忍耐的,耐心的"
1023,patron,1,"n.(对某人,某种目标,艺术等)赞助人,资助人"
1024,payment,8,"n.付款,支付,报酬,偿还,报应,惩罚"
1025,peak,7,"n.山顶,顶点,帽舌,(记录的)最高峰;adj.最高的;vi.到达最高点,消瘦,缩小;vt.使竖起,使达到最高点"
1026,peculiar,1,"adj.奇特的,罕见的,特殊的;n.特有财产,特权"
1027,peer,17,"n.同等的人,贵族;vi.凝视,窥视;vt.与...同等,封为贵族"
1028,pension,11,"n.养老金,退休金"
1029,per,18,"prep.每,每一,由,经"
1030,perceive,1,"vt.察觉;v.感知,感到,认识到"
1031,perception,3,"n.理解,感知,感觉,DPS公司出的数字影像压缩卡"
1032,perform,3,"vt.履行,执行,表演,演出;v.完成任务"
1033,perfume,2,"n.香味,芳香,香水;vt.使发香,洒香水于,发香味"
1034,periodic,1,"adj.周期的,定期的"
1035,permanent,5,"adj.永久的,持久的"
1036,permission,4,"n.许可,允许"
1037,persist,6,"vi.坚持,持续"
1038,persistent,3,adj.持久稳固的
1039,personnel,8,"n.人员,职员"
1040,petition,1,"n.请愿,情愿书,诉状,陈情书;v.请求,恳求,请愿"
1041,petrol,1,n.<英>汽油（=<美>gasoline）
1042,phase,6,"n.阶段,状态,相,相位;v.定相"
1043,philosopher,3,"n.哲学家,哲人"
1044,physical,38,"adj.身体的,物质的,自然的,物理的;n.体格检查"
1045,physician,2,"n.医师,内科医师"
1046,physiological,2,"adj.生理学的,生理学上的"
1047,pilot,5,"n.飞行员,领航员,引水员;vt.驾驶(飞机等),领航,引水;v.驾驶"
1048,pint,2,n.品脱
1049,pitch,1,"n.程度,斜度,树脂,投掷,定调,船前后颠簸,沥青;vt.投,掷,向前倾,定位于,用沥青涂,扎营;vi.搭篷,投掷,坠落,倾斜"
1050,plague,1,"n.瘟疫,麻烦,苦恼,灾祸;vt.折磨,使苦恼,使得灾祸"
1051,plastic,4,"n.塑胶,可塑体,塑料制品,整形;adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的"
1052,platform,9,"n.(车站)月台,讲台,讲坛;平台"
1053,plausible,1,adj.似是而非的
1054,pledge,5,"n.保证,誓言,抵押,抵押品;vt.保证,使发誓,抵押,典当,举杯祝...健康"
1055,plentiful,3,"adj.许多的,大量的,丰富的,丰饶的"
1056,plot,2,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构;vt.划分,绘图,密谋;vi.密谋,策划"
1057,plus,2,"prep.加上;adj.正的,加的"
1058,poet,1,n.诗人
1059,poison,1,"n.毒药,败坏道德之事,毒害;vt.毒害,败坏,使中毒;vi.放毒,下毒"
1060,polar,1,"adj.[天]两极的,极地的,南辕北辙的,南极的,(北极星似的)指引的,极性的,北极的;n.极线,极面"
1061,policy,22,"n.政策,方针"
1062,polish,1,"n.磨光,光泽,上光剂,优雅,精良;vt.擦亮,发亮,磨光,推敲;vi.发亮,变光滑;adj.波兰的;n.波兰人"
1063,politics,3,"n.政治,政治学,政纲,政见"
1064,pollute,1,"vt.弄脏,污染"
1065,portable,2,"adj.轻便的,手提(式)的,便携式的"
1066,portion,6,"n.一部分,一分"
1067,pose,2,"n.姿势,姿态;v.(使...)摆好姿势,形成,引起,造成;vi.摆姿势,佯装,矫揉造作"
1068,possess,2,"vt.占有,拥有,持有,摆布,支配"
1069,possession,1,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
1070,postpone,1,"vt.推迟,使延期,延迟"
1071,potential,37,"adj.潜在的,可能的,势的,位的;n.潜能,潜力,电压"
1072,pour,1,"v.灌注,倾泻,涌入,流,倾盆大雨"
1073,powerful,13,"adj.强大的,有力的"
1074,preceding,1,"adj.在前的,前述的"
1075,precise,3,"adj.精确的,准确的;n.精确"
1076,predict,7,"v.预知,预言,预报"
1077,preference,7,"n.偏爱,优先选择"
1078,pregnant,4,"adj.怀孕的,重要的,富有意义的,孕育的"
1079,prejudice,3,"n.偏见,成见,损害,侵害;v.损害"
1080,premature,1,"adj.未成熟的,太早的,早熟的"
1081,premium,5,"n.额外费用,奖金,奖赏,保险费,(货币兑现的)贴水"
1082,preparation,3,"n.准备,预备"
1083,prescribe,2,"v.指示,规定,处(方),开(药)"
1084,prescription,2,"n.指示,规定,命令,处方,药方"
1085,presentation,3,"n.介绍,陈述,赠送,表达"
1086,presently,1,"adv.目前,不久"
1087,pressure,27,"n.压,压力,电压,压迫,强制,紧迫"
1088,prevail,3,"vi.流行,盛行,获胜,成功"
1089,previous,18,"n.事先查看,[计]预览;vt.事先查看,预展,预演"
1090,primarily,10,"adv.首先,起初,主要地,根本上"
1091,primary,8,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
1092,prime,3,"n.最初,青春,精华;adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的;v.预先准备好,<口>让人吃(喝)足,灌注,填装"
1093,primitive,3,"adj.原始的,远古的,粗糙的,简单的"
1094,principal,1,"n.负责人,首长,校长,主犯,本金;adj.主要的,首要的"
1095,prior,1,"adj.优先的,在前的;n.预先;adv.在"
1096,privacy,17,"n.独处而不受干扰,秘密"
1097,probable,1,"adj.很可能的,大概的"
1098,procedure,2,"n.程序,手续"
1099,process,38,"n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理"
1100,procession,1,"n.行列,队伍"
1101,product,19,"n.产品,产物,乘积"
1102,productive,12,"adj.生产性的,生产的,能产的,多产的"
1103,productivity,5,n.生产力
1104,profession,9,"n.职业,专业,表白,宣布"
1105,profile,2,"n.剖面,侧面,外形,轮廓"
1106,profitable,11,adj.有利可图的
1107,profound,7,"adj.深刻的,意义深远的,渊博的,造诣深的"
1108,project,25,"n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
1109,prominent,5,"adj.卓越的,显著的,突出的"
1110,promote,19,"vt.促进,发扬,提升,提拔,晋升为"
1111,prompt,6,"n.提示,付款期限;vt.提示,鼓动,促使,(给演员)提白;adj.敏捷的,迅速的,即时的;adv.准时地;n.DOS命令:改变DOS系统提示符的风格"
1112,proof,3,"n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的;vt.检验,校对,使不被穿透"
1113,property,12,"n.财产,所有物,所有权,性质,特性,(小)道具"
1114,proportion,8,"n.比例,均衡,面积,部分;vt.使成比例,使均衡,分摊"
1115,proportional,1,"adj.比例的,成比例的,相称的,均衡的"
1116,propose,2,"vt.计划,建议,向...提议,求(婚);vi.打算,求婚"
1117,prospect,3,"n.景色,前景,前途,期望;vi.寻找,勘探"
1118,prosperity,6,n.繁荣
1119,protection,24,n.保护
1120,protective,1,"adj.给予保护的,保护的"
1121,protest,5,"n.主张,断言,抗议;v.主张,断言抗议,拒付"
1122,prove,21,"vt.证明,证实,检验,考验;vi.原来(是),证明(是)"
1123,provided,12,conj.倘若
1124,provision,1,"n.供应,(一批)供应品,预备,防备,规定"
1125,provoke,2,"vt.激怒,挑拨,煽动,惹起,驱使"
1126,psychiatrist,2,"n.精神病医师,精神病学家"
1127,publicity,1,n.公开
1128,punch,1,"n.冲压机,冲床,打孔机;vt.冲孔,打孔"
1129,punctual,1,"adj.严守时刻的,准时的"
1130,purify,1,vt.使纯净;v.净化
1131,purple,2,adj.紫色的;n.紫色
1132,purse,1,n.钱包
1133,pursuit,2,n.追击
1134,puzzle,2,"n.难题,谜;v.(使)迷惑,(使)为难,迷惑不解"
1135,qualify,9,"v.(使)具有资格,证明合格,限制修饰;vt.限制,限定"
1136,quantify,2,vt.确定数量;v.量化
1137,quit,29,"vi.离开,辞职,停止;vt.离开,放弃,解除,停止"
1138,quote,3,"vt.引用,引证,提供,提出,报(价)"
1139,radiation,2,"n.发散,发光,发热,辐射,放射,放射线,放射物"
1140,railway,1,"n.[英]铁道,铁路"
1141,random,3,"n.随意,任意;adj.任意的,随便的,胡乱的;adv.胡乱地"
1142,rank,9,"n.等级,横列,阶级;adj.繁茂的,恶臭的,讨厌的,下流的;vt.排列,归类于,把...分等;vi.列为,列队;n.[数]秩"
1143,rape,1,"n.掠夺,强奸,葡萄渣,油菜;vt.掠夺,强奸"
1144,rarely,17,"adv.很少地,罕有地"
1145,rate,38,"n.比率,速度,等级,价格,费用;vt.估价,认为,鉴定等级,责骂;vi.被评价,责骂"
1146,rating,2,"n.等级级别(尤指军阶),额定,责骂,申斥"
1147,rational,7,"adj.理性的,合理的,推理的;n.[数]有理数"
1148,react,1,"vi.起反应,起作用,反抗,起反作用"
1149,readily,4,"adv.乐意地,欣然,容易地"
1150,reality,7,"n.真实,事实,本体,逼真"
1151,realm,2,n.领域
1152,reap,2,"v.收割,收获"
1153,rear,1,"n.后面,背后,后方,屁股;adj.后面的,背面的,后方的;vt.培养,饲养,举起,树立,栽种;vi.高耸,暴跳,用后腿站起"
1154,recall,6,"vt.回忆,回想,记起,取消;n.召回"
1155,recede,1,v.后退
1156,recently,27,adv.最近
1157,reception,3,"n.接待,招待会,接收"
1158,recipient,1,"adj.容易接受的,感受性强的;n.容纳者,容器"
1159,reckon,5,"vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想"
1160,recognition,5,"n.赞誉,承认,重视,公认,赏识,识别"
1161,recommend,9,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
1162,recommendation,4,"n.推荐,介绍(信),劝告,建议"
1163,recorder,3,"n.记录员,录音[像]机;n.[计]宏录制器,记录器"
1164,recovery,7,"n.恢复,痊愈,防御"
1165,recruit,15,"n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原"
1166,reduction,5,"n.减少,缩影,变形,缩减量,约简"
1167,referee,5,"n.仲裁人,调解人,[体]裁判员;v.仲裁,裁判"
1168,reference,4,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
1169,refine,1,"vt.精炼,精制,使文雅高尚"
1170,reflection,3,"n.反射,映象,倒影,反省,沉思,反映"
1171,reform,7,"n.改革,改善,改良运动,感化;vt.改革,革新,重新组成;vi.革新,改过,重组"
1172,refresh,1,"v.(使)精神振作,(使)精力恢复,更新"
1173,refrigerator,4,"n.电冰箱,冷藏库"
1174,refusal,3,"n.拒绝,推却,优先取舍权,优先取舍的机会"
1175,regarding,1,prep.关于
1176,region,10,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
1177,register,4,"n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号"
1178,regulate,2,"vt.管制,控制,调节,校准"
1179,reinforce,3,"vt.加强,增援,补充,增加...的数量,修补,加固;vi.求援,得到增援;n.加固物"
1180,reject,1,"n.被拒之人,被弃之物,不合格品,落选者,不及格者;vt.拒绝,抵制,否决,呕出,驳回,丢弃"
1181,relate,4,"vt.叙述,讲,使联系,发生关系"
1182,relative,11,"n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的"
1183,relativity,3,"n.相对性,相关性,[物]相对论"
1184,release,6,"n.释放,让渡,豁免,发行的书,释放证书;vt.释放,解放,放弃,让与,免除,发表;n.版本,发布"
1185,reliable,9,"adj.可靠的,可信赖的"
1186,reliance,2,"n.信任,信心,依靠,依靠的人或物"
1187,relieve,4,"vt.减轻,解除,援救,救济,换班"
1188,religion,1,"n.宗教,信仰"
1189,reluctant,9,"adj.不顾的,勉强的,难得到的,难处理的"
1190,remain,26,"vi.保持,逗留,剩余,残存"
1191,remark,6,"n.备注,评论,注意,注释;vt.评论,注意,谈及;vi.谈论"
1192,remarkable,5,"adj.不平常的,非凡的,值得注意的,显著的"
1193,remedy,1,"n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补"
1194,remote,8,"adj.遥远的,偏僻的,细微的"
1195,render,2,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底"
1196,renew,2,"vt.使更新,使恢复,重申,补充,续借,复兴;vi.更新,重新开始"
1197,repay,3,"v.偿还,报答,报复"
1198,replace,21,"vt.取代,替换,代替,把...放回原处"
1199,replacement,7,"n.归还,复位,交换,代替者,补充兵员,置换,移位"
1200,reporter,3,"n.记者,通讯员"
1201,representative,3,"n.代表;adj.典型的,有代表性的"
1202,reproduce,5,"v.繁殖,再生,复制,使...在脑海中重现"
1203,reputation,18,"n.名誉,名声"
1204,requirement,4,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
1205,rescue,2,"vt.援救,营救;n.援救,营救"
1206,resemble,2,"vt.象,类似"
1207,reservation,1,"n.保留,(旅馆房间等)预定,预约"
1208,residence,1,"n.居住,住处"
1209,residential,3,"adj.住宅的,与居住有关的"
1210,resign,2,"n.辞去(职务);v.辞去,辞职"
1211,resistance,3,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
1212,resistant,2,"adj.抵抗的,有抵抗力的"
1213,resolve,2,"n.决心;v.决心,决定,决心要,(使)分解,溶解,解决;vt.解决"
1214,resort,2,"vi.求助,诉诸,采取(某种手段等),常去;n.凭借,手段,常去之地,胜地"
1215,resource,2,"n.资源,财力,办法,智谋"
1216,respectively,2,"adv.分别地,各个地"
1217,response,14,"n.回答,响应,反应"
1218,responsible,19,"adj.有责任的,可靠的,可依赖的,负责的"
1219,restore,4,"vt.恢复,使回复,归还,交还,修复,重建"
1220,restraint,2,"n.抑制,制止,克制"
1221,result,37,"n.结果,成效,计算结果;vi.起因,由于,以...为结果,导致"
1222,resume,4,"n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复"
1223,retire,9,"vi.退休,引退,退却,撤退,就寝"
1224,retreat,1,"vi.撤退,退却;n.撤退,退却"
1225,retrieve,1,v.重新得到;n.找回
1226,reunion,2,"n.团圆,重聚"
1227,revelation,1,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
1228,revenge,1,"n.报仇,复仇;vt.替...报仇,复仇"
1229,reverse,4,"n.相反,背面,反面,倒退;adj.相反的,倒转的,颠倒的;vt.颠倒,倒转"
1230,revise,3,"vt.修订,校订,修正,修改"
1231,revolutionary,1,adj.革命的
1232,reward,3,"n.报酬,奖金;vt.酬劳,奖赏"
1233,rhythm,3,"n.节奏,韵律"
1234,rid,8,"vt.使摆脱,使去掉"
1235,rigid,3,"adj.刚硬的,刚性的,严格的"
1236,risk,28,"vt.冒...的危险;n.冒险,风险"
1237,rival,3,"n.竞争者,对手;v.竞争,对抗,相匹敌"
1238,rocket,1,n.火箭;v.飞速上升
1239,romance,4,"n.冒险故事,浪漫史,传奇文学,风流韵事,虚构;vi.写传奇,渲染,虚构"
1240,route,3,"n.路线,路程,通道;v.发送"
1241,rude,1,"adj.粗鲁的,无礼的,猛烈的,残暴的,粗鲁无礼的"
1242,ruin,1,"v.(使)破产,(使)堕落,毁灭;n.毁灭,崩溃,废墟,遗迹"
1243,rural,12,"adj.乡下的,田园的,乡村风味的,生活在农村的"
1244,sack,1,"n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫;vt.解雇,装入袋,洗劫,就寝"
1245,sacrifice,2,"n.牺牲,献身,祭品,供奉;v.牺牲,献出,献祭,供奉"
1246,sake,2,"n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒"
1247,salary,10,n.薪水;vt.给...加薪
1248,salesman,4,"n.售货员,推销员"
1249,satellite,2,n.人造卫星
1250,satisfactory,1,"adj.满意的,赎罪的"
1251,sauce,1,"n.沙司,酱油,调味料;vt.调味,使增加趣味"
1252,saving,11,"n.存款,挽救,救助,节约;adj.搭救的,挽救的,节约的,节俭的,保留的,补偿的;prep.除...之外,考虑到"
1253,scale,8,"n.刻度,衡量,比例,数值范围,比例尺,天平,等级;vt.依比例决定,攀登,测量;vi.剥落,生水垢,重,攀登,衡量"
1254,scan,3,"v.细看,审视,浏览,扫描;n.扫描"
1255,scarce,1,"adj.缺乏的,不足的,稀有的,不充足的"
1256,scenery,4,"n.风景,景色"
1257,schedule,8,"n.时间表,进度表;v.确定时间"
1258,scheme,2,"n.安排,配置,计划,阴谋,方案,图解,摘要;v.计划,设计,图谋,策划"
1259,scholarship,3,"n.奖学金,学问,学识"
1260,scope,4,"n.(活动)范围,机会,余地"
1261,score,1,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线;vt.把...记下,刻划,划线,获得,评价;vi.记分,刻痕,得分"
1262,scratch,3,"n.乱写,刮擦声,抓痕,擦伤;vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出;vi.发刮擦声,搔,抓;adj.打草稿用的,凑合的"
1263,screen,7,"n.屏,银幕,筛子,掩蔽物,屏风;vt.掩蔽,包庇,放映,拍摄,筛;vi.拍电影"
1264,sculpture,1,"n.雕刻,雕刻品,雕塑,雕塑品,[地理]刻蚀;v.雕刻,雕塑,刻蚀"
1265,secondary,7,"adj.次要的,二级的,中级的,第二的"
1266,sector,3,"n.部分,部门,[计]扇区,地区,象限,扇形;v.使分成部分,把...分成扇形"
1267,secure,2,"adj.安全的,可靠的,放心的,无虑的;v.保护"
1268,seemingly,4,adv.表面上地
1269,segment,3,"n.段,节,片断;v.分割"
1270,select,43,"vt.选择,挑选;adj.精选的"
1271,selection,6,"n.选择,挑选,选集,精选品"
1272,selfish,1,adj.自私的
1273,senator,1,"n.参议员,(大学的)评议员,(古罗马的)元老院议员"
1274,sensible,6,"adj.有感觉的,明智的,有判断力的"
1275,sequence,1,"n.次序,顺序,序列"
1276,series,7,"n.连续,系列,丛书,级数"
1277,session,1,"n.会议,开庭"
1278,setting,4,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
1279,settlement,1,"n.沉降,解决,结算,殖民,殖民地"
1280,shave,5,"v.剃,刮,削刮;vt.刨,削;n.刮脸"
1281,sheer,2,"adj.全然的,纯粹的,绝对的,彻底的,透明的;vi.避开,躲避,偏航;vt.使避开,使偏航;adv.完全,全然,峻峭;n.偏航"
1282,shelter,2,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体;v.掩蔽,躲避"
1283,shift,13,"n.移动,轮班,移位,变化,办法,手段;vt.替换,转移,改变,移转,推卸,变速;vi.转换,移动,转变,推托,变速"
1284,shortage,11,"n.不足,缺乏"
1285,shortly,1,"adv.立刻,不久,简略地,简言之,即刻"
1286,shrink,4,"v.收缩,(使)皱缩,缩短"
1287,shuttle,5,"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭;v.穿梭往返"
1288,sideways,1,"adv.向一旁,向侧面地,斜地里;adj.一旁的,向侧面的"
1289,sightseeing,1,n.观光
1290,significance,5,"n.意义,重要性"
1291,similar,31,"adj.相似的,类似的"
1292,similarly,3,"adv.同样地,类似于"
1293,simplicity,1,"n.简单,简易,朴素,直率"
1294,sin,1,"n.[俗]违背习俗,不合情理之事,过失,罪过,[数学]正弦函数"
1295,single,148,"adj.单一的,单身的,单纯的,孤独的,专一的,个别的;n.一个,单打,单精度型;vt.选出;vi.[棒]作一垒打"
1296,singular,1,"n.单数;adj.单一的,非凡的,异常的,持异议的"
1297,site,4,"n.地点,场所,遗址;vt.定...的地点;n.站点"
1298,skeleton,2,"n.(动物之)骨架,骨骼,基干,纲要,万能钥匙"
1299,skeptical,1,"adj.怀疑性的,好怀疑的,<口>无神论的"
1300,skilled,7,adj.熟练的
1301,slap,1,"vt.拍,掌击,拍击;n.拍,掌击,拍击"
1302,slide,1,"v.(使)滑动,(使)滑行;n.滑,滑动,幻灯片"
1303,slim,2,"adj.苗条的,纤细的,不足取的,无价值的,细长的;v.变细,减肥"
1304,slippery,3,"adj.滑的,光滑的"
1305,slogan,2,"n.口号,标语"
