,单词,后缀,单词释义
963,investigate,ate 表形容词， 具有...的,"v.调查,研究"
964,investment,ent 表形容词， ...的,"n.投资,可获利的东西"
965,invitation,ation 表名词， 行为，过程，结果,"n.邀请,招待"
966,inward,ward 表形容词+副词， 向...,"adv.向内,在内;adj.向内的,内在的"
967,irony,y 表名词，加在形容词或以r结尾的单词后。,"n.反话,讽刺,讽刺之事"
968,irrigation,ation 表名词， 行为，过程，结果,"n.灌溉,冲洗"
969,irritate,ate 表形容词， 具有...的,"vt.激怒,使急躁;v.刺激"
970,isolate,ate 表形容词， 具有...的,"vt.使隔离,使孤立,使绝缘,离析;n.隔离种群"
971,ivory,ory 表名词，指场所等,n.象牙
972,jar,ar 表形容词， ...的,"n.震动,刺耳声,震惊,争吵,罐,广口瓶;vi.震惊,冲突,发刺耳声,不一致;vt.震动,刺激"
973,jealous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.妒忌的,猜疑的,警惕的,嫉妒的"
974,jeopardize,ize 构成一些动词,v.危害
975,jet,et 表示 小,"n.喷射,黑玉;v.喷射;adj.黑玉色的,墨黑的;喷气机"
976,journal,al 表名词， 人，物，状态,"n.定期刊物,杂志,航海日记,分类账"
977,journey,y 表名词，加在形容词或以r结尾的单词后。,"n.旅行,旅程;v.旅行"
978,junction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.连接,接合,交叉点,汇合处"
979,junior,ior 表形容词， 较...的,"n.年少者,晚辈,下级,(年龄、职位等)较低者,大学三年级学生;adj.年少的,下级的,后进的"
980,jury,ry 表示集合名词,"n.[律]陪审团,评判委员会,陪审员;adj.[海]临时应急的"
981,justification,fication 表名词，由fic变化而来,"n.认为有理,认为正当,理由,辩护,释罪"
982,justify,"fy 表动词, ...化，成为... ，更多时候作 ify",v.证明...是正当的
983,keen,en 表动词， 变成,"adj.锋利的,敏锐的,敏捷的,热心的,渴望的"
984,keyboard,ard 表名词， 不好的人,n.[计]键盘
985,kid,id 表形容词， 如...的,"n.哄骗,取笑,开玩笑,小孩,小山羊;v.哄骗,取笑,开玩笑,欺骗"
986,kidney,y 表名词，加在形容词或以r结尾的单词后。,"n.肾,(动物可食用的)腰子,个性,性格"
987,kindness,"ness 表名词， 性质, 状态， 通常加在形容词后面","n.仁慈,亲切,好意,善意"
988,kingdom,dom 表名词， 状态或领域,"n.王国,[宗]天国,上帝的统治,领域"
989,kit,it 表名词，通常是抽象名词,"n.成套工具,用具包,工具箱,成套用具"
990,kneel,el 表名词， 人或物,vi.跪下
991,knot,ot 表名词， ...人,"n.(绳等的)结,(树的)节,节(船速,＝哩／小时);v.打结"
992,laboratory,atory 表名词 场所，地点,n.实验室
993,lad,ad 表名词， ...东西，状态,"n.少年,青年男子,<口>伙计，家伙（呢称）"
994,largely,ly 表形容词，通常加在名词后。,"adv.主要地,大量地,很大程度上"
995,latent,ent 表形容词， ...的,"adj.潜在的,潜伏的,隐藏的;n.隐约的指印"
996,latter,er 表动词， 反复做,"adj.后面的,(两者中)后者的,较后的,近来的"
997,laughter,er 表名词， 物品，机器,"n.笑,笑声"
998,laundry,ry 表示集合名词,"n.洗衣店,要洗的衣服,洗熨"
999,lavatory,ry 表示 场地,"n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室"
1000,layer,er 表动词， 反复做,"n.层,阶层"
1001,leader,er 表动词， 反复做,"n.领导者,社论;n.[计]前导字符;n.[机]导杆"
1002,leading,ing 表形容词， 正...的 ， 令人...的,"adj.领导的,第一位的,最主要的"
1003,leaflet,let 表示 小,"n.小叶,传单"
1004,lean,an 表名词和形容词， ...地方，...人,"n.倾斜,倾斜度,倚靠,倾向;adj.瘦的,贫乏的,歉收的;vi.倚靠,倾斜,依赖,倾向,偏向;vt.使倾斜"
1005,learning,ing 表形容词， 正...的 ， 令人...的,"n.知识,学问,学习,学"
1006,leather,er 表动词， 反复做,"n.皮革,皮革制品"
1007,legal,al 表形容词， ...的,"adj.法律的,法定的,合法"
1008,legislation,ation 表名词， 行为，过程，结果,"n.立法,法律的制定(或通过)"
1009,legitimate,ate 表形容词， 具有...的,"adj.合法的,合理的,正统的;v.合法"
1010,lemon,on 表名词，指人、物和一些物理学上的名词,n.柠檬;adj.柠檬色的
1011,lever,er 表动词， 反复做,"n.杆,杠杆,控制杆;v.抬起"
1012,levy,y 表名词，加在形容词或以r结尾的单词后。,"n.征收,征税,征兵;v.征收,征集,征用"
1013,liability,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"n.责任,义务,倾向,债务,负债,与assets相对"
1014,liberal,al 表名词， 人，物，状态,"n.自由主义者,(尤指英国、加拿大等国的);adj.慷慨的,不拘泥的,宽大的,自由主义的"
1015,liberty,ty 表名词，用在形容词后，把形容词变成名词,"n.自由,特权,随意,冒失,冒昧,失礼"
1016,lid,id 表形容词， 如...的,"n.盖子,<美口>限制,眼睑;vt.给...盖盖子"
1017,lightning,ing 表形容词， 正...的 ， 令人...的,n.闪电;(“闪电”)英国第一种超音速喷气式战斗机，英60年代的主力机种。
1018,likely,ly 表形容词，通常加在名词后。,"adj.很可能的,合适的,可靠的,有希望的;adv.或许,很可能"
1019,limitation,ation 表名词， 行为，过程，结果,"n.限制,局限性"
1020,linear,ar 表形容词， ...的,"adj.线的,直线的,线性的"
1021,linen,en 表动词， 变成,"n.亚麻布,亚麻制品,亚麻纤维制成的优质纸;adj.亚麻布制的,亚麻的"
1022,liner,er 表动词， 反复做,"n.<美>班机,划线者,衬垫"
1023,linger,er 表名词， 物品，机器,"v.逗留,闲荡,拖延,游移"
1024,liquid,id 表形容词， 如...的,"n.液体,流体,流音;adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
1025,liter,er 表动词， 反复做,n.公升
1026,literacy,y 表名词，加在形容词或以r结尾的单词后。,n.有文化，有教养，有读写能力
1027,literary,ary 表名词， 人，场所，物,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
1028,litter,er 表动词， 反复做,"n.垃圾,(供动物睡眠或防冻用的)干草,树叶,(一)窝,轿,担架;vt.乱丢,铺草,弄乱;vi.产仔,乱丢垃圾"
1029,liver,er 表名词， 物品，机器,n.居住者，生活优裕的人，肝脏
1030,loan,an 表名词和形容词， ...地方，...人,"n.（借出的）贷款,借出;v.借,借给"
1031,lobby,y 表名词，加在形容词或以r结尾的单词后。,"n.大厅,休息室,<美>游说议员者;vi.游说议员,经常出入休息室;vt.对(议员)进行疏通"
1032,locality,ality 表名词， 状态，性质,"n.位置,地点"
1033,locate,ate 表形容词， 具有...的,"vt.查找...的地点,使...坐落于,位于;v.定位,位于"
1034,location,ion 表名词， 动作或状态 分为 sion和tion两种,"n.位置,场所,特定区域，<美>[电影]外景拍摄场地"
1035,locomotive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","n.机车,火车头;adj.运动的"
1036,lofty,ty 表名词，用在形容词后，把形容词变成名词,"adj.高高的,崇高的,高傲的,高级的"
1037,logic,"ic 表形容词, ....的 ，有时作tic","n.逻辑,逻辑学,逻辑性"
1038,logical,al 表形容词， ...的,"adj.合乎逻辑的,合理的"
1039,longevity,ty 表名词，用在形容词后，把形容词变成名词,"n.长命,寿命，供职期限，资历"
1040,loose,ose 表形容词， 多...的,"n.解放,放任,放纵;adj.宽松的,不精确的,不牢固的,散漫的,自由的;vt.释放,放枪,开船;vi.变松,开火;adv.松散地"
1041,loosen,en 表动词， 变成,"v.解开,放松,松开"
1042,lorry,ry 表示集合名词,"n.<古>卡车,铁路货车"
1043,lover,er 表动词， 反复做,"n.爱人,爱好者,情人"
1044,lower,er 表名词， 物品，机器,"adj.较低的,下级的,下等的,下游的;vi.降低,跌落,减弱;vt.放下,降下,减弱,贬低"
1045,loyal,al 表形容词， ...的,"adj.忠诚的,忠心的"
1046,loyalty,ty 表名词，用在形容词后，把形容词变成名词,"n.忠诚,忠心"
1047,lucky,y 表名词，加在形容词或以r结尾的单词后。,"adj.幸运的,吉祥的,侥幸的"
1048,luminous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.发光的,明亮的"
1049,lunar,ar 表形容词， ...的,"adj.月的,月亮的"
1050,luxury,ry 表示集合名词,"n.奢侈,华贵"
1051,machinery,ry 表示 场地,"n.[总称]机器,机械"
1052,magistrate,ate 表形容词， 具有...的,"n.文职官员,地方官员"
1053,magnet,et 表示 小,"n.磁体,磁铁"
1054,magnificent,ent 表形容词， ...的,"adj.华丽的,高尚的,宏伟的"
1055,magnify,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.放大,扩大,赞美,夸大,夸张;vi.有放大能力"
1056,maid,id 表形容词， 如...的,"n.少女,女仆"
1057,maintain,ain 表名词， ...人,"vt.维持,维修,继续,供养,主张"
1058,majesty,ty 表名词，用在形容词后，把形容词变成名词,"n.最高权威,王权,雄伟"
1059,majority,ity 表名词，指具备某种性质,"n.多数,大半;n.[律]成年"
1060,management,ment 表名词， 行为或结果,"n.经营,管理,处理,操纵,驾驶,手段"
1061,maneuver,er 表动词， 反复做,v.机动;n.机动
1062,manipulate,ate 表形容词， 具有...的,"vt.(熟练地)操作,使用(机器等),操纵(人或市价,市场),利用,应付,假造;vt.(熟练地)操作,巧妙地处理"
1063,manner,er 表动词， 反复做,"n.礼貌,风格,方式,样式,习惯"
1064,manual,al 表名词， 人，物，状态,"n.手册,指南;adj.手的,手动的,手工的,体力的,手册(性质)的,[律]实际占有的"
1065,manufacturer,er 表动词， 反复做,"n.制造业者,厂商"
1066,marginal,al 表名词， 人，物，状态,"adj.记在页边的,边缘的,边际的"
1067,market,et 表示 小,"n.市场,销路,行情;vt.在市场上交易,使上市;vi.在市场上买卖"
1068,marry,ry 表示集合名词,"vt.娶,嫁,和...结婚"
1069,marshal,al 表名词， 人，物，状态,"n.元帅,典礼官,执行官,司仪官;vt.整顿,配置,汇集;vi.排列,集合"
1070,Marxist,ist 表名词， 表示信仰者，专家或从事人,adj.马克思主义的;n.马克思主义者
1071,massive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.厚重的,大块的,魁伟的,结实的"
1072,mate,ate 表形容词， 具有...的,"n.配偶,对手,助手;vt.使配对,使一致,结伴;vi.成配偶,紧密配合"
1073,material,ial 表形容词， 有...的,"n.材料,原料,物资,素材,布料;adj.物质的,肉体的,具体的,重要的,实质性的"
1074,mathematical,al 表名词， 人，物，状态,"adj.数学的,精确的"
1075,mature,ture ture在s结尾的词根后变成sure,"adj.成熟的,到期的,充分考虑的,(票据等)到期的;vt.使成熟;vi.成熟,到期"
1076,mayor,or 表名词， 人或物器 ，在一些词根前写成 ator,n.市长
1077,meaning,ing 表形容词， 正...的 ， 令人...的,"n.意义,含意,意图,[逻]内涵;adj.意味深长的"
1078,meanwhile,ile 表形容词， ...的,"(=meantime)n.其间,其时;adv.其间"
1079,measurement,ment 表名词， 行为或结果,"n.测量法,度量,(量得的)尺寸,度量单位制"
1080,mechanic,"ic 表形容词, ....的 ，有时作tic","n.技工,机修工,机械士"
1081,mechanical,al 表形容词， ...的,"adj.机械的,机械制的,机械似的,呆板的"
1082,medal,al 表名词， 人，物，状态,"n.奖章,勋章,纪念章;v.授予...奖章"
1083,media,"ia 表名词, 总称，状态",n.媒体
1084,medieval,al 表名词， 人，物，状态,"adj.中世纪的,仿中世纪的,老式的,<贬>原始的"
1085,melody,y 表名词，加在形容词或以r结尾的单词后。,n.悦耳的音调
1086,membership,ship 表示某种技能,"n.成员资格,成员人数"
1087,memorial,ial 表形容词， 有...的,"n.纪念物,纪念馆,纪念议事,请愿书;adj.记念的,记忆的"
1088,memorize,ize 构成一些动词,"v.[亦作memorise]记住,记忆"
1089,mental,al 表名词， 人，物，状态,"adj.精神的,智力的"
1090,mention,on 表名词，指人、物和一些物理学上的名词,"vt.提及,说起;n.提及,说起;v.论及,提及"
1091,merchant,ant 表形容词， ...的,"n.商人,批发商,贸易商,店主;adj.商业的,商人的"
1092,mercury,ry 表示集合名词,"n.水银,汞,[罗神]墨丘利神(众神的信使)"
1093,mercy,y 表名词，加在形容词或以r结尾的单词后。,"n.仁慈,宽恕,怜悯"
1094,merely,ly 表形容词，通常加在名词后。,"adv.仅仅,只,不过"
1095,merit,it 表名词，通常是抽象名词,"n.优点,价值;v.有益于"
1096,merry,ry 表示集合名词,"adj.欢乐的,愉快的"
1097,messenger,er 表动词， 反复做,"n.报信者,使者"
1098,metric,"ic 表形容词, ....的 ，有时作tic","adj.米制的,公制的"
1099,metropolitan,an 表名词和形容词， ...地方，...人,"adj.首都的,主要都市的,大城市"
1100,migrant,ant 表形容词， ...的,"n.候鸟,移居者"
1101,migrate,ate 表动词， 做，造成,"vi.移动,移往,移植,随季节而移居,(鸟类的)迁徙;vt.使移居,使移植"
1102,militant,ant 表形容词， ...的,"adj.好战的,积极从事或支持使用武力的"
1103,military,ry 表示集合名词,"adj.军事的,军用的"
1104,millionaire,aire 表名词， ...人,"n.百万富翁,大富豪"
1105,mineral,al 表名词， 人，物，状态,"n.矿物,矿石"
1106,miniature,ture ture在s结尾的词根后变成sure,"n.缩小的模型,缩图,缩影;adj.微型的,缩小的"
1107,minimal,al 表名词， 人，物，状态,"adj.最小的,最小限度的"
1108,minister,ster 表名词， ...人 ,"n.部长,大臣"
1109,ministry,ry 表示集合名词,n.(政府的)部门
1110,minority,ity 表名词，指具备某种性质,"n.少数,少数民族"
1111,miracle,"acle 表名词, ... 物品，状态","n.奇迹,奇事"
1112,misery,ery 表名词， 场所，地点,"n.痛苦,苦恼,悲惨,不幸,穷困"
1113,mislead,ad 表名词， ...东西，状态,vt.误导
1114,missing,ing 表形容词， 正...的 ， 令人...的,"adj.不见的,缺少的"
1115,mission,ion 表名词， 动作或状态 分为 sion和tion两种,"n.使命,任务,使团,代表团"
1116,missionary,ary 表名词， 人，场所，物,"adj.传教的,传教士的;n.传教士"
1117,mistress,ress 表名词，指 物品 ,"n.主妇,女主人,女能人,情妇"
1118,mixture,ture ture在s结尾的词根后变成sure,"n.混合,混合物,混合剂"
1119,moan,an 表名词和形容词， ...地方，...人,"n.呻吟,哀悼,呼啸;vi.发出呻吟声,抱怨,哀悼;vt.呻吟"
1120,mobile,ile 表形容词， ...的,"adj.可移动的,易变的,机动的;n.运动物体"
1121,mobilize,ize 构成一些动词,v.动员
1122,moderate,ate 表形容词， 具有...的,"adj.中等的,适度的,适中的;v.缓和"
1123,modify,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.更改,修改;v.修改"
1124,moist,ist 表名词， 表示信仰者，专家或从事人,adj.潮湿的;n.潮湿
1125,molecule,ule 表名词， 小...,"n.[化]分子,些微"
1126,monetary,ary 表名词， 人，场所，物,"adj.货币的,金钱的"
1127,monitor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.班长,监听器,监视器,监控器;vt.监控;v.监控"
1128,monopoly,ly 表形容词，通常加在名词后。,"n.垄断,垄断者,专利权,专利事业"
1129,monument,ment 表名词， 行为或结果,n.纪念碑
1130,moral,al 表名词， 人，物，状态,"n.怪物,妖怪"
1131,morality,ty 表名词，用在形容词后，把形容词变成名词,adj.道德的;n.道德
1132,mortal,al 表名词， 人，物，状态,"n.凡人,人类;adj.必死的,致命的,人类的,临终的;adj.<口>极端的,非常大(长)的"
1133,mosquito,o 表名词，用于音乐术语,n.蚊子
1134,motion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.运动,动作;v.运动"
1135,motivate,ate 表动词， 做，造成,v.激发
1136,motor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.发动机,电动机"
1137,muddy,y 表名词，加在形容词或以r结尾的单词后。,"adj.多泥的,泥泞的"
1138,multiply,ly 表形容词，通常加在名词后。,"v.繁殖,乘,增加"
1139,municipal,al 表名词， 人，物，状态,"adj.市政的,市立的,地方性的,地方自治的"
1140,murder,er 表动词， 反复做,"n.谋杀,凶杀;vt.谋杀,凶杀;v.谋杀"
1141,muscular,"ular 表形容词, 有...形状或性质的","adj.肌肉的,强健的"
1142,musician,ian 表名词， 某种人,n.音乐家
1143,mutter,er 表动词， 反复做,"n.咕哝,嘀咕;v.咕哝,嘀咕"
1144,mutual,al 表形容词， ...的,"adj.相互的,共有的"
1145,mystery,ery 表名词， 场所，地点,"n.神秘,神秘的事物"
1146,myth,th 表名词，通常指抽象名词,"n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法"
1147,namely,ly 表形容词，通常加在名词后。,"adv.即,也就是"
1148,narrative,ative 表形容词， 有...倾向(性质)的,adj.叙述性的;n.叙述
1149,nasty,ty 表名词，用在形容词后，把形容词变成名词,"adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的"
1150,nationality,y 表名词，加在形容词或以r结尾的单词后。,"n.国籍,国家,部落,民族,民族性"
1151,naturally,y 表名词， 人或小东西 常带有嬉谑性和爱称。,adv.自然地
1152,naval,al 表名词， 人，物，状态,adj.海军的
1153,navigation,on 表名词，指人、物和一些物理学上的名词,"n.航海,航空,导航,领航,航行"
1154,navy,y 表名词，加在形容词或以r结尾的单词后。,n.海军
1155,nearby,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"adj.附近的,邻近的;adv.在附近"
1156,necessarily,y 表形容词，加在名词后变成形容词,adv.必要地
1157,necessity,ity 表名词，指具备某种性质,"n.必要性,需要,必需品"
1158,negative,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","n.否定,负数,底片;adj.否定的,消极的,负的,阴性的;vt.否定,拒绝(接受)"
1159,negligible,ible 形容词 能...的,"adj.可以忽略的,不予重视的"
1160,negotiate,ate 表形容词， 具有...的,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
1161,Negro,o 表名词，用于音乐术语,n.黑人
1162,neutral,al 表名词， 人，物，状态,"n.中立者,中立国,非彩色,齿轮的空档;adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
1163,nickel,el 表名词， 人或物,"n.[化]镍,镍币,(美国和加拿大的)五分镍币;vt.镀镍于"
1164,nitrogen,en 表动词， 变成,n.[化]氮
1165,nominal,al 表形容词， ...的,"adj.名义上的,有名无实的,名字的,[语]名词性的;n.名词性词"
1166,nonetheless,less 表形容词， 无...的，不...的,"adv.虽然如此,但是"
1167,normal,al 表名词， 人，物，状态,"n.正规,常态,[数学]法线;adj.正常的,正规的,标准的"
1168,normally,ly 表形容词，通常加在名词后。,"adv.正常地,通常地"
1169,notation,ation 表名词， 行为，过程，结果,n.符号
1170,noticeable,able 表形容词， 可...的，能...,"adj.显而易见的,值得注意的"
1171,notify,"fy 表动词, ...化，成为... ，更多时候作 ify",v.通报
1172,notorious,"ious 表形容词, ....的",adj.声名狼籍的
1173,notwithstanding,ing 表形容词， 正...的 ， 令人...的,"prep.虽然,尽管;adv.尽管,还是;conj.虽然,尽管"
1174,nourish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"vt.滋养,使健壮,怀有(希望,仇恨等)"
1175,novelty,ty 表名词，用在形容词后，把形容词变成名词,"n.新颖,新奇,新鲜,新奇的事物"
1176,nuclear,ar 表形容词， ...的,"adj.[核]核子的,原子能的,核的,中心的"
1177,nuisance,ance 表名词， 性质，状况,"n.讨厌的人或东西,麻烦事,损害"
1178,numerical,al 表名词， 人，物，状态,"adj.数字的,用数表示的;adj.数字的,用数字表示的"
1179,nursery,ery 表名词， 场所，地点,n.托儿所
1180,nutrition,ition 表名词， 行为过程，状态,"n.营养,营养学"
1181,nylon,on 表名词，指人、物和一些物理学上的名词,n.尼龙
1182,oath,th 表名词，通常指抽象名词,"n.誓言,宣誓,诅咒"
1183,obey,y 表名词，加在形容词或以r结尾的单词后。,"v.服从,顺从"
1184,objection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.异议,缺陷,妨碍,拒绝之理由"
1185,objective,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","n.目标,目的,(显微镜的)(接)物镜,[语法]宾格;adj.客观的,[语法]宾格的"
1186,obligation,on 表名词，指人、物和一些物理学上的名词,"n.义务,职责,债务"
1187,observation,ation 表名词， 行为，过程，结果,"n.观察,观测,观察资料(或报告)"
1188,observer,er 表动词， 反复做,"n.观测者,观察员,遵守者"
1189,obtain,ain 表名词， ...人,"vt.获得,得到"
1190,occasion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.场合,时机,机会"
1191,occasional,al 表名词， 人，物，状态,"adj.偶然的,非经常的,特殊场合的,临时的"
1192,occupation,on 表名词，指人、物和一些物理学上的名词,"n.职业,占有,占有(房屋等)期间"
1193,occupy,y 表名词，加在形容词或以r结尾的单词后。,"vt.占,占用,占领,占据"
1194,occurrence,ence 表名词， 性质，状态,"n.发生,出现,事件,发生的事情"
1195,odor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.气味,名声"
1196,offensive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.讨厌的,无礼的,攻击性的;n.进攻,攻势"
1197,official,al 表名词， 人，物，状态,"n.官员,公务员;adj.职务上的,公务的,官方的,正式的"
1198,offset,et 表示 小,"n.偏移量,抵销,弥补,分支,平版印刷,胶印;vt.弥补,抵销,用平版印刷;vi.偏移,形成分支"
1199,olive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","n.橄榄树,橄榄叶,橄榄枝,橄榄色"
1200,omit,it 表名词，通常是抽象名词,"vt.省略,疏忽,遗漏"
1201,onion,on 表名词，指人、物和一些物理学上的名词,"n.洋葱;vt.加洋葱于,因洋葱掉泪"
1202,opening,ing 表形容词， 正...的 ， 令人...的,"n.开,开放,开始,口子,穴,通路,空缺,机会;adj.开始的,开幕的"
1203,operational,al 表名词， 人，物，状态,"adj.操作的,运作的"
1204,operator,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子"
1205,opportunity,ity 表名词，指具备某种性质,"n.机会,时机"
1206,oppose,ose 表形容词， 多...的,"vt.反对,使对立,使对抗,抗争;vi.反对"
1207,oppress,ess 表名词， 女性，雌性,"vt.压迫,压抑"
1208,optical,al 表名词， 人，物，状态,"adj.眼的,视力的,光学的"
1209,optimistic,"istic 表形容词，由ist + ic 构成,表示 ...的",adj.乐观的
1210,option,ion 表名词， 动作或状态 分为 sion和tion两种,"n.选项,选择权,[经]买卖的特权"
1211,optional,al 表名词， 人，物，状态,"adj.可选择的,随意的"
1212,oral,al 表形容词， ...的,adj.口头的
1213,orderly,ly 表形容词，通常加在名词后。,"adj.有秩序的,整齐的,整洁的;n.传令兵,勤务兵;adv.依次地,顺序地"
1214,organ,an 表名词和形容词， ...地方，...人,"n.[机]元件,机构,机关,机关报;[乐]风琴,管风琴,嗓音;[生物]器官"
1215,organic,ic 表名词， 某种药,"adj.器官的,有机的,组织的,建制的"
1216,organization,"ization 表名词，来自ize+ation, ...化 或 发展过程","n.组织,机构,团体"
1217,organize,ize 构成一些动词,"n.生物体,有机体"
1218,orient,ent 表形容词， ...的,"n.东方,东方诸国(地中海以东各国);adj.东方的,上升的,灿烂的;vi.适应形势,向东;vt.使朝东,使适应,确定方向"
1219,oriental,al 表名词， 人，物，状态,"n.东方人(尤指中国人和日本人);adj.东方诸国的,亚洲的,东方的,(珍珠等)最优质的"
1220,orientation,on 表名词，指人、物和一些物理学上的名词,"n.方向,方位,定位,倾向性,向东方"
1221,original,al 表名词， 人，物，状态,"adj.最初的,原始的,独创的,新颖的;n.原物,原作"
1222,ornament,ment 表名词， 行为或结果,"n.装饰物,教堂用品;vt.装饰,修饰"
1223,outer,er 表动词， 反复做,"adj.外部的,外面的,远离中心的;n.(射击)环外命中"
1224,outlet,let 表示 小,"n.出口,出路"
1225,outrage,"age 名词后缀,表示 状态，总称","n.暴行,侮辱,愤怒;vt.凌辱,引起...义愤,强奸"
1226,outset,et 表示 小,"n.开端,开始"
1227,outstanding,ing 表形容词， 正...的 ， 令人...的,"adj.突出的,显著的"
1228,oval,al 表名词， 人，物，状态,"adj.卵形的,椭圆的;n.卵形,椭圆形"
1229,oven,en 表动词， 变成,"n.烤箱,烤炉,灶"
1230,overhead,ad 表名词， ...东西，状态,"adj.在头上的,高架的;n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
1231,overhear,ar 表形容词， ...的,"vt.无意中听到,偷听"
1232,overwhelming,ing 表形容词， 正...的 ， 令人...的,"adj.压倒性的,无法抵抗的"
1233,owing,ing 表形容词， 正...的 ， 令人...的,"adj.(～to)由于,该付的,未付的,应归功于"
1234,owner,er 表动词， 反复做,"n.所有者,业主"
1235,oxygen,en 表动词， 变成,n.[化]氧
1236,package,"age 名词后缀,表示 状态，总称","n.包裹,包"
1237,packet,et 表示 小,"n.小包裹,小捆;v.包装;信息包"
1238,pad,ad 表名词， ...东西，状态,"n.垫,衬垫,便笺簿;v.加上衬垫"
1239,painter,er 表动词， 反复做,"n.画家,油漆匠"
1240,pamphlet,let 表示 小,n.小册子
1241,panel,el 表名词， 人或物,"n.面板,嵌板,仪表板,座谈小组,全体陪审员;vt.嵌镶板"
1242,parade,"ade 表名词, 表示 状态，物品","n.游行,炫耀,阅兵,检阅,阅兵场;v.游行,炫耀,夸耀,(使)列队行进"
1243,parallel,el 表名词， 人或物,"adj.平行的,相同的,类似的,并联的;n.平行线,平行面,类似,相似物;v.相应,平行"
1244,parameter,er 表动词， 反复做,"n.参数,参量,<口>起限定作用的因素"
1245,parcel,el 表名词， 人或物,"n.小包,包裹;vt.打包,捆扎"
1246,partial,ial 表形容词， 有...的,"adj.部分的,局部的,偏袒的,偏爱的;n.泛音"
1247,participant,ant 表形容词， ...的,"n.参与者,共享者;adj.参与的"
1248,participate,ate 表动词， 做，造成,"vi.参与,参加,分享,分担"
1249,particularly,ly 表形容词，通常加在名词后。,"adv.独特地,显著地"
1250,partner,er 表动词， 反复做,"n.合伙人,股东,舞伴,伴侣;vt.与...合伙,组成一对;vi.做伙伴,当助手"
1251,passive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive",adj.被动的
1252,pastry,ry 表示集合名词,"n.面粉糕饼,馅饼皮"
1253,patent,ent 表形容词， ...的,"n.专利权,执照,专利品;adj.特许的,专利的,显著的,明白的,新奇的;vt.取得...的专利权,请准专利"
1254,pathetic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.可怜的,悲惨的"
1255,patient,ent 表形容词， ...的,"n.病人,患者;adj.忍耐的,耐心的"
1256,patriot,ot 表名词， ...人,n.爱国者
1257,patron,on 表名词，指人、物和一些物理学上的名词,"n.(对某人,某种目标,艺术等)赞助人,资助人"
1258,payment,ment 表名词， 行为或结果,"n.付款,支付,报酬,偿还,报应,惩罚"
1259,peculiar,ar 表形容词， ...的,"adj.奇特的,罕见的,特殊的;n.特有财产,特权"
1260,pedal,al 表形容词， ...的,n.踏板;v.踩...的踏板
1261,peel,el 表名词， 人或物,"v.剥,削,剥落"
1262,peer,er 表动词， 反复做,"n.同等的人,贵族;vi.凝视,窥视;vt.与...同等,封为贵族"
1263,penalty,ty 表名词，用在形容词后，把形容词变成名词,"n.处罚,罚款"
1264,penetrate,ate 表形容词， 具有...的,"vt.穿透,渗透,看穿,洞察;vi.刺入,看穿,渗透,弥漫"
1265,pension,ion 表名词， 动作或状态 分为 sion和tion两种,"n.养老金,退休金"
1266,pepper,er 表动词， 反复做,n.胡椒粉
1267,per,er 表名词， 物品，机器,"prep.每,每一,由,经"
1268,percentage,"age 名词后缀,表示 状态，总称","n.百分数,百分率,百分比"
1269,perception,ion 表名词， 动作或状态 分为 sion和tion两种,"n.理解,感知,感觉,DPS公司出的数字影像压缩卡"
1270,perfection,ion 表示 某种物，用品,"n.尽善尽美,完美,完成"
1271,performance,ance 表名词， 性质，状况,"n.履行,执行,成绩,性能,表演,演奏"
