,单词,前缀,单词释义
654,intensive,in 表示 不，无，非,"adj.强烈的,精深的,透彻的,[语法]加强语气的;n.加强器"
655,intention,in 表示 向内，进入,"n.意图,目的"
656,interact,in 表示 不，无，非,"vi.互相作用,互相影响"
657,intercourse,inter 表示 在..... 之间，相互,"n.交往,交流"
658,interest,in 表示 向内，进入,"n.兴趣,关心,重要性,影响,利息,利益,利害;vt.使发生兴趣,引起...的注意"
659,interfere,in 表示 不，无，非,"vi.干涉,干预,妨碍,打扰"
660,interim,inter 表示 在..... 之间，相互,"adj.中间的,临时的,间歇的;n.中间时期,过渡时期,暂定"
661,interior,in 表示 向内，进入,"adj.内部的,内的;n.内部"
662,intermediate,in 表示 不，无，非,adj.中间的;n.媒介
663,internal,inter 表示 在..... 之间，相互,"adj.内在的,国内的"
664,interpret,in 表示 向内，进入,"v.解释,说明,口译,通译,认为是...的意思"
665,interpretation,in 表示 不，无，非,"n.解释,阐明,口译,通译"
666,intersection,inter 表示 在..... 之间，相互,"n.[数]交集,十字路口,交叉点"
667,interval,in 表示 向内，进入,"n.间隔,距离,幕间休息;n.时间间隔"
668,intervene,in 表示 不，无，非,"vi.干涉,干预,插入,介入,(指时间)介于其间;v.干涉"
669,intimate,in 表示 向内，进入,"adj.亲密的,隐私的;vt.宣布,明白表示;n.熟友"
670,intimidate,in 表示 不，无，非,v.胁迫
671,intrigue,in 表示 向内，进入,"n.阴谋,诡计;vi.密谋,私通;vt.激起...的兴趣,用诡计取得"
672,intrinsic,in 表示 不，无，非,"adj.(指价值、性质)固有的,内在的,本质的"
673,intuition,in 表示 向内，进入,"n.直觉,直觉的知识"
674,invade,in 表示 不，无，非,"vt.侵略,侵袭,拥挤"
675,invaluable,in 表示 向内，进入,"adj.无价的,价值无法衡量的"
676,invariably,in 表示 不，无，非,"adv.不变地,总是;n.总是"
677,invent,in 表示 向内，进入,"vt.发明,创造;v.发明"
678,invention,in 表示 不，无，非,"n.发明,创造"
679,invert,in 表示 向内，进入,"adj.转化的;vt.使颠倒,使转化;n.颠倒的事物"
680,invest,in 表示 不，无，非,"v.投(资),购买(有用之物)～,授予,投资"
681,investment,in 表示 向内，进入,"n.投资,可获利的东西"
682,invisible,in 表示 不，无，非,"adj.看不见的,无形的"
683,involve,in 表示 向内，进入,"vt.包括,笼罩,潜心于,使陷于"
684,inward,in 表示 不，无，非,"adv.向内,在内;adj.向内的,内在的"
685,irony,ir 表示 使.....成为，进入,"n.反话,讽刺,讽刺之事"
686,irrigation,ir 辅音重复表示 不，无,"n.灌溉,冲洗"
687,irritate,ir 表示 使.....成为，进入,"vt.激怒,使急躁;v.刺激"
688,isolate,"iso 表示 等, 同","vt.使隔离,使孤立,使绝缘,离析;n.隔离种群"
689,male,mal male 表示 坏，恶,"adj.男的,雄的,男性"
690,metallic,"meta 表示 超过, 改变",adj.金属(性)的
691,microphone,micro 表示 微，小,"n.扩音器,麦克风"
692,millimetre,milli 表示 千，千分之一,n.毫米
693,miniature,mini 表示 小,"n.缩小的模型,缩图,缩影;adj.微型的,缩小的"
694,minimal,mini 表示 小,"adj.最小的,最小限度的"
695,minimum,mini 表示 小,"adj.最小的,最低的;n.最小值,最小化"
696,ministry,mini 表示 小,n.(政府的)部门
697,miserable,mis 表示 错误，坏,"adj.痛苦的,悲惨的,可怜"
698,misfortune,mis 表示 错误，坏,"n.不幸,灾祸"
699,missile,mis 表示 错误，坏,"n.导弹,发射物"
700,mission,mis 表示 错误，坏,"n.使命,任务,使团,代表团"
701,mist,mis 表示 错误，坏,n.薄雾
702,misunderstand,mis 表示 错误，坏,"vt.误解,误会"
703,monopoly,mono 表示 单个，一个,"n.垄断,垄断者,专利权,专利事业"
704,multiple,multi 表示 多，很多,"adj.多样的,多重的;n.倍数,若干;v.成倍增加"
705,multitude,multi 表示 多，很多,"n.多数,群众"
706,nonetheless,non 表示 不，非,"adv.虽然如此,但是"
707,obedient,ob 表示 逆，倒，加强意义,"adj.服从的,孝顺的"
708,object,ob 表示 逆，倒，加强意义,"n.物体,目标,宾语,对象;vi.反对,拒绝,抗议;vt.提出...来反对"
709,objective,ob 表示 逆，倒，加强意义,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格;adj.客观的,[语法]宾格的"
710,oblige,ob 表示 逆，倒，加强意义,"vt.迫使,责成"
711,obscure,ob 表示 逆，倒，加强意义,"adj.暗的,朦胧的,模糊的,晦涩的;vt.使暗,使不明显"
712,observe,ob 表示 逆，倒，加强意义,"vt.观察,观测,遵守,评述,说"
713,obstacle,ob 表示 逆，倒，加强意义,"n.障碍,妨害物"
714,obvious,ob 表示 逆，倒，加强意义,"adj.明显的,显而易见的"
715,outbreak,out 示 超过，过度,"n.(战争的)爆发,(疾病的)发作"
716,outcome,out 表示 出去，过时,"n.结果,成果"
717,outfit,out 示 超过，过度,"n.用具,配备,机构,全套装配,;vt.配备,装备;vi.得到装备"
718,outlet,out 表示 出去，过时,"n.出口,出路"
719,outlook,out 示 超过，过度,"n.景色,风光,观点,见解,展望,前景"
720,output,out 表示 出去，过时,"n.产量,输出,输出量"
721,outset,out 示 超过，过度,"n.开端,开始"
722,outside,out 表示 出去，过时,"n.外面,外表,外界;adj.外面的,外表的,外界的;adv.在外面,外表,出界;prep.在...外"
723,outward,out 示 超过，过度,"adj.外面的,外表的,公开的,向外的,外出的;adv.向外,在外,表面上n.外表,周围世界"
724,overall,over 表示 过度，过份,"adj.全部的,全面的"
725,overcome,over 表示 翻转,"vt.战胜,克服,胜过,征服;vi.得胜"
726,overflow,over 表示 在... 之上,"n.溢出,超值,泛滥,充满,洋溢;v.(使)泛滥,(使)溢出,(使)充溢"
727,overhear,over 表示 过度，过份,"vt.无意中听到,偷听"
728,overlook,over 表示 翻转,"vt.俯瞰,耸出,远眺,没注意到;n.眺望,俯瞰中的景色"
729,overnight,over 表示 在... 之上,"n.头天晚上;adj.通宵的,晚上的,前夜的;adv.在前一夜,整夜,昨晚一晚上"
730,overseas,over 表示 过度，过份,"adv.海外;adj.外国的,海外的"
731,overt,over 表示 翻转,"adj.明显的,公然的"
732,overtake,over 表示 在... 之上,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
733,overturn,over 表示 过度，过份,"n.倾覆,破灭,革命;vt.推翻,颠倒;vi.翻倒;n.翻转,毁灭"
734,overwhelm,over 表示 翻转,"vt.淹没,覆没,受打击,制服,压倒"
735,overwhelming,over 表示 在... 之上,"adj.压倒性的,无法抵抗的"
736,panel,pan 表示 广泛的,"n.面板,嵌板,仪表板,座谈小组,全体陪审员;vt.嵌镶板"
737,pants,pan 表示 广泛的,"n.裤子,短裤"
738,parade,para 表示 半，类似，辅助,"n.游行,炫耀,阅兵,检阅,阅兵场;v.游行,炫耀,夸耀,(使)列队行进"
739,paradise,para 表示 旁边,n.天堂
740,paradox,para 表示 降落伞,"n.似非而是的论点,自相矛盾的话"
741,parallel,para 表示 半，类似，辅助,"adj.平行的,相同的,类似的,并联的;n.平行线,平行面,类似,相似物;v.相应,平行"
742,paralyze,para 表示 旁边,"vt.使瘫痪,使麻痹"
743,parameter,para 表示 降落伞,"n.参数,参量,<口>起限定作用的因素"
744,penalty,pen 表示 近似，差不多,"n.处罚,罚款"
745,penetrate,pen 表示 近似，差不多,"vt.穿透,渗透,看穿,洞察;vi.刺入,看穿,渗透,弥漫"
746,peninsula,pen 表示 近似，差不多,n.半岛
747,per,per 表示 贯穿，自始至终,"prep.每,每一,由,经"
748,perceive,per 表示 假，坏,"vt.察觉;v.感知,感到,认识到"
749,perception,per 表示 贯穿，自始至终,"n.理解,感知,感觉,DPS公司出的数字影像压缩卡"
750,perfection,per 表示 假，坏,"n.尽善尽美,完美,完成"
751,performance,per 表示 贯穿，自始至终,"n.履行,执行,成绩,性能,表演,演奏"
752,perfume,per 表示 假，坏,"n.香味,芳香,香水;vt.使发香,洒香水于,发香味"
753,periodical,peri 表示 周围，靠近,"adj.周期的,定期的;n.期刊,杂志"
754,perish,per 表示 贯穿，自始至终,"vi.毁灭,死亡,腐烂,枯萎;vt.毁坏,使麻木"
755,permanent,per 表示 假，坏,"adj.永久的,持久的"
756,permissible,per 表示 贯穿，自始至终,adj.可允许的
757,permission,per 表示 假，坏,"n.许可,允许"
758,perplex,per 表示 贯穿，自始至终,v.困惑
759,persist,per 表示 假，坏,"vi.坚持,持续"
760,personality,per 表示 贯穿，自始至终,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
761,personnel,per 表示 假，坏,"n.人员,职员"
762,persuasion,per 表示 贯穿，自始至终,"n.说服,说服力"
763,postage,post 表示 在后面,n.邮资
764,postpone,post 表示 邮件，邮政,"vt.推迟,使延期,延迟"
765,preach,pre 表示 ...前的，预先,v.鼓吹
766,precede,pre 表示 ...前的，预先,"v.领先(于),在...之前,先于"
767,preceding,pre 表示 ...前的，预先,"adj.在前的,前述的"
768,precise,pre 表示 ...前的，预先,"adj.精确的,准确的;n.精确"
769,preclude,pre 表示 ...前的，预先,n.排除
770,predict,pre 表示 ...前的，预先,"v.预知,预言,预报"
771,preface,pre 表示 ...前的，预先,"n.序文,绪言,前言;vi.作序,写前言;vt.为...写序言,开始"
772,preference,pre 表示 ...前的，预先,"n.偏爱,优先选择"
773,prejudice,pre 表示 ...前的，预先,"n.偏见,成见,损害,侵害;v.损害"
774,premature,pre 表示 ...前的，预先,"adj.未成熟的,太早的,早熟的"
775,premise,pre 表示 ...前的，预先,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基;vt.提论,预述,假定;vi.作出前提"
776,preparation,pre 表示 ...前的，预先,"n.准备,预备"
777,prescribe,pre 表示 ...前的，预先,"v.指示,规定,处(方),开(药)"
778,presence,pre 表示 ...前的，预先,"n.出席,到场,存在"
779,presently,pre 表示 ...前的，预先,"adv.目前,不久"
780,preside,pre 表示 ...前的，预先,v.主持
781,prestige,pre 表示 ...前的，预先,"n.声望,威望,威信"
782,presume,pre 表示 ...前的，预先,"vt.假定,假设,认为"
783,pretext,pre 表示 ...前的，预先,"n.借口,托辞;v.借口"
784,prevalent,pre 表示 ...前的，预先,"adj.普遍的,流行的"
785,previous,pre 表示 ...前的，预先,"n.事先查看,[计]预览;vt.事先查看,预展,预演"
786,probability,pro 表示 赞同，亲...,"n.可能性,或然性,概率"
787,probable,pro 表示 向前，在前,"adj.很可能的,大概的"
788,probe,pro 表示 很多...,"n.探针,探测器;vt.(以探针等)探查,查明"
789,proceed,pro 表示 赞同，亲...,"vi.进行,继续下去,发生"
790,proceeding,pro 表示 向前，在前,"n.行动,进行,会议录,学报"
791,process,pro 表示 很多...,"n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理"
792,proclaim,pro 表示 赞同，亲...,"vt.宣布,声明,显示,显露"
793,product,pro 表示 向前，在前,"n.产品,产物,乘积"
794,productive,pro 表示 很多...,"adj.生产性的,生产的,能产的,多产的"
795,profess,pro 表示 赞同，亲...,v.表示
796,profession,pro 表示 向前，在前,"n.职业,专业,表白,宣布"
797,professional,pro 表示 很多...,"n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的"
798,profile,pro 表示 赞同，亲...,"n.剖面,侧面,外形,轮廓"
799,profit,pro 表示 向前，在前,"n.利润,益处,得益;vi.得益,利用;vt.有益于,有利于"
800,profitable,pro 表示 很多...,adj.有利可图的
801,progressive,pro 表示 赞同，亲...,"n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的"
802,prohibit,pro 表示 向前，在前,"vt.禁止,阻止"
803,project,pro 表示 很多...,"n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
804,prominent,pro 表示 赞同，亲...,"adj.卓越的,显著的,突出的"
805,promising,pro 表示 向前，在前,"adj.有希望的,有前途的"
806,promote,pro 表示 很多...,"vt.促进,发扬,提升,提拔,晋升为"
807,prone,pro 表示 赞同，亲...,adj.倾向于
808,pronoun,pro 表示 向前，在前,n.代名词
809,proof,pro 表示 很多...,"n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的;vt.检验,校对,使不被穿透"
810,propagate,pro 表示 赞同，亲...,"v.繁殖,传播,宣传"
811,propel,pro 表示 向前，在前,"vt.推进,驱使"
812,property,pro 表示 很多...,"n.财产,所有物,所有权,性质,特性,(小)道具"
813,proportion,pro 表示 赞同，亲...,"n.比例,均衡,面积,部分;vt.使成比例,使均衡,分摊"
814,proportional,pro 表示 向前，在前,"adj.比例的,成比例的,相称的,均衡的"
815,proposal,pro 表示 很多...,"n.提议,建议"
816,proposition,pro 表示 赞同，亲...,"n.主张,建议,陈述,命题"
817,prose,pro 表示 向前，在前,n.散文
818,prosecute,pro 表示 很多...,"vt.实行,从事,告发,起诉;vi.告发,起诉,作检察官"
819,prospective,pro 表示 赞同，亲...,adj.预期的
820,prosperity,pro 表示 向前，在前,n.繁荣
821,prosperous,pro 表示 很多...,adj.繁荣的
822,protective,pro 表示 赞同，亲...,"adj.给予保护的,保护的"
823,protein,pro 表示 向前，在前,n.[生化]蛋白质;adj.蛋白质的
824,protest,pro 表示 很多...,"n.主张,断言,抗议;v.主张,断言抗议,拒付"
825,prove,pro 表示 赞同，亲...,"vt.证明,证实,检验,考验;vi.原来(是),证明(是)"
826,provide,pro 表示 向前，在前,"v.供应,供给,准备,预防,规定"
827,provided,pro 表示 很多...,conj.倘若
828,provision,pro 表示 赞同，亲...,"n.供应,(一批)供应品,预备,防备,规定"
829,provocative,pro 表示 向前，在前,adj.煽动的;n.刺激物
830,provoke,pro 表示 很多...,"vt.激怒,挑拨,煽动,惹起,驱使"
831,react,re 表示 向后，相反,"vi.起反应,起作用,反抗,起反作用"
832,reaction,re 表示 一再，重新,"n.反应,反作用,反动(力)"
833,realistic,re 表示 向后，相反,adj.现实(主义)的
834,reality,re 表示 一再，重新,"n.真实,事实,本体,逼真"
835,reap,re 表示 向后，相反,"v.收割,收获"
836,rear,re 表示 一再，重新,"n.后面,背后,后方,屁股;adj.后面的,背面的,后方的;vt.培养,饲养,举起,树立,栽种;vi.高耸,暴跳,用后腿站起"
837,reassure,re 表示 向后，相反,"vt.使...安心,再保证,使...恢复信心,打消...的疑虑"
838,rebel,re 表示 一再，重新,"n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱"
839,recall,re 表示 向后，相反,"vt.回忆,回想,记起,取消;n.召回"
840,recede,re 表示 一再，重新,v.后退
841,receiver,re 表示 向后，相反,"n.接受者,接收器,收信机"
842,recently,re 表示 一再，重新,adv.最近
843,recession,re 表示 向后，相反,"n.撤回,退回,退后,工商业之衰退,不景气"
844,recipe,re 表示 一再，重新,n.处方
845,reciprocal,re 表示 向后，相反,"adj.互惠的,相应的,倒数的,彼此相反的;n.倒数,互相起作用的事物"
846,recite,re 表示 一再，重新,"v.背诵,朗读,叙述,[律]书面陈述(事实)"
847,reckon,re 表示 向后，相反,"vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想"
848,reclaim,re 表示 一再，重新,"vt.要求归还,收回,开垦"
849,recognize,re 表示 向后，相反,"vt.认可,承认,公认,赏识;vi.具结"
850,recommend,re 表示 一再，重新,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
851,reconcile,re 表示 向后，相反,"vt.使和解,使和谐,使顺从"
852,reconciliation,re 表示 一再，重新,"n.和解,调和,顺从"
853,recover,re 表示 向后，相反,"vt.重新获得,恢复,使改过;vi.痊愈,复原,胜诉;n.DOS命令:从含有损坏磁盘扇区的磁盘上恢复文件"
854,recovery,re 表示 一再，重新,"n.恢复,痊愈,防御"
855,recruit,re 表示 向后，相反,"n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原"
856,rectangular,re 表示 一再，重新,"adj.矩形的,成直角的"
857,recur,re 表示 向后，相反,"vi.复发,重现,再来"
858,recycle,re 表示 一再，重新,"v.使再循环,反复应用;n.再循环,再生,重复利用"
859,redundant,re 表示 向后，相反,adj.多余的
860,reel,re 表示 一再，重新,"n.(棉纱,电线的)卷轴,(磁带等的)一盘,旋转,蹒跚;vt.卷...于轴上,使旋转;vi.蹒跚地走,旋转,眩晕,骚乱,退缩,摇晃"
861,reference,re 表示 向后，相反,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
862,refine,re 表示 一再，重新,"vt.精炼,精制,使文雅高尚"
863,reflection,re 表示 向后，相反,"n.反射,映象,倒影,反省,沉思,反映"
864,reflexion,re 表示 一再，重新,"n.<主英>（=reflection）反射,反射光"
865,refrain,re 表示 向后，相反,"n.重复,叠句,[乐]副歌;vi.节制,避免,制止"
866,refresh,re 表示 一再，重新,"v.(使)精神振作,(使)精力恢复,更新"
867,refrigerator,re 表示 向后，相反,"n.电冰箱,冷藏库"
868,refuge,re 表示 一再，重新,"n.庇护,避难,避难所"
869,refund,re 表示 向后，相反,"v.退还,偿还;n.归还,偿还额,退款"
870,refusal,re 表示 一再，重新,"n.拒绝,推却,优先取舍权,优先取舍的机会"
871,regarding,re 表示 向后，相反,prep.关于
872,regardless,re 表示 一再，重新,"adj.不管,不顾,不注意"
873,region,re 表示 向后，相反,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
874,register,re 表示 一再，重新,"n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号"
875,regulation,re 表示 向后，相反,"n.规则,规章,调节,校准"
876,rehearsal,re 表示 一再，重新,"n.排演,演习,预演,试演"
877,rein,re 表示 向后，相反,"n.缰绳,统治,支配;vt.以缰绳控制,统治,驾驭;vi.勒住马,止住"
878,reinforce,re 表示 一再，重新,"vt.加强,增援,补充,增加...的数量,修补,加固;vi.求援,得到增援;n.加固物"
879,rejoice,re 表示 向后，相反,"v.(使)欣喜,(使)高兴,喜悦"
880,relate,re 表示 一再，重新,"vt.叙述,讲,使联系,发生关系"
881,relative,re 表示 向后，相反,"n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的"
882,relativity,re 表示 一再，重新,"n.相对性,相关性,[物]相对论"
883,relay,re 表示 向后，相反,"n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播"
884,release,re 表示 一再，重新,"n.释放,让渡,豁免,发行的书,释放证书;vt.释放,解放,放弃,让与,免除,发表;n.版本,发布"
885,reliable,re 表示 向后，相反,"adj.可靠的,可信赖的"
886,reliance,re 表示 一再，重新,"n.信任,信心,依靠,依靠的人或物"
887,relieve,re 表示 向后，相反,"vt.减轻,解除,援救,救济,换班"
888,religion,re 表示 一再，重新,"n.宗教,信仰"
889,relish,re 表示 向后，相反,n.意味
890,reluctant,re 表示 一再，重新,"adj.不顾的,勉强的,难得到的,难处理的"
891,remain,re 表示 向后，相反,"vi.保持,逗留,剩余,残存"
892,remainder,re 表示 一再，重新,"n.残余,剩余物,其他的人,[数]余数;v.廉价出售;adj.剩余的,出售剩书的"
893,remarkable,re 表示 向后，相反,"adj.不平常的,非凡的,值得注意的,显著的"
894,remedy,re 表示 一再，重新,"n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补"
895,remnant,re 表示 向后，相反,"n.残余,剩余,零料,残迹;adj.剩余的,残留的"
896,remote,re 表示 一再，重新,"adj.遥远的,偏僻的,细微的"
897,renaissance,re 表示 向后，相反,"n.复兴,复活,新生,文艺复兴,文艺复兴时期"
898,render,re 表示 一再，重新,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底"
899,rent,re 表示 向后，相反,"v.租,租借,出租;n.租金"
900,repay,re 表示 一再，重新,"v.偿还,报答,报复"
901,repel,re 表示 向后，相反,"vt.击退,抵制,使厌恶,使不愉快"
902,repertoire,re 表示 一再，重新,"n.(准备好演出的)节目,保留剧目,(计算机的)指令表,指令系统,<美>(某个人的)全部技能"
903,replace,re 表示 向后，相反,"vt.取代,替换,代替,把...放回原处"
904,replacement,re 表示 一再，重新,"n.归还,复位,交换,代替者,补充兵员,置换,移位"
905,represent,re 表示 向后，相反,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演;vi.提出异议"
906,representative,re 表示 一再，重新,"n.代表;adj.典型的,有代表性的"
907,reproach,re 表示 向后，相反,v.责备
908,reproduce,re 表示 一再，重新,"v.繁殖,再生,复制,使...在脑海中重现"
909,reputation,re 表示 向后，相反,"n.名誉,名声"
910,require,re 表示 一再，重新,"vt.需要,要求,命令"
911,rescue,re 表示 向后，相反,"vt.援救,营救;n.援救,营救"
912,resemblance,re 表示 一再，重新,n.类同之处
913,resent,re 表示 向后，相反,"v.愤恨,怨恨"
914,reservation,re 表示 一再，重新,"n.保留,(旅馆房间等)预定,预约"
915,reservior,re 表示 向后，相反,"n.贮水池,贮藏处,贮备"
916,reside,re 表示 一再，重新,vi.居住
917,resident,re 表示 向后，相反,"n.居民;adj.居住的,常驻的"
918,residential,re 表示 一再，重新,"adj.住宅的,与居住有关的"
919,resist,re 表示 向后，相反,"vt.抵抗,反抗,抗,忍得住"
920,resistance,re 表示 一再，重新,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
921,resolution,re 表示 向后，相反,"n.坚定,决心,决定,决议"
922,resolve,re 表示 一再，重新,"n.决心;v.决心,决定,决心要,(使)分解,溶解,解决;vt.解决"
923,resource,re 表示 向后，相反,"n.资源,财力,办法,智谋"
924,respect,re 表示 一再，重新,"n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意;vt.尊敬,尊重,不防碍"
925,respectively,re 表示 向后，相反,"adv.分别地,各个地"
926,respond,re 表示 一再，重新,"v.回答,响应,作出反应;vi.有反应"
927,responsibility,re 表示 向后，相反,"n.责任,职责"
928,responsible,re 表示 一再，重新,"adj.有责任的,可靠的,可依赖的,负责的"
929,restore,re 表示 向后，相反,"vt.恢复,使回复,归还,交还,修复,重建"
930,restrain,re 表示 一再，重新,"vt.抑制,制止"
931,restrict,re 表示 向后，相反,"vt.限制,约束,限定"
932,result,re 表示 一再，重新,"n.结果,成效,计算结果;vi.起因,由于,以...为结果,导致"
933,resume,re 表示 向后，相反,"n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复"
934,retain,re 表示 一再，重新,"vt.保持,保留"
935,retire,re 表示 向后，相反,"vi.退休,引退,退却,撤退,就寝"
936,retort,re 表示 一再，重新,"v.反驳,反击,回报;n.曲颈甑,曲颈瓶,蒸器"
937,retrieve,re 表示 向后，相反,v.重新得到;n.找回
938,retrospect,re 表示 一再，重新,n.回顾
939,reveal,re 表示 向后，相反,"vt.展现,显示,揭示,暴露"
940,revelation,re 表示 一再，重新,"n.显示,揭露,被揭露的事,新发现,启示,揭示"
941,revenue,re 表示 向后，相反,"n.收入,国家的收入,税收"
942,reverse,re 表示 一再，重新,"n.相反,背面,反面,倒退;adj.相反的,倒转的,颠倒的;vt.颠倒,倒转"
943,revive,re 表示 向后，相反,"v.(使)苏醒,(使)复兴,(使)复活,(使)再生效,回想"
944,revolt,re 表示 一再，重新,"v.反抗,起义,反叛,反感,厌恶"
945,revolve,re 表示 向后，相反,"v.(使)旋转,考虑,循环出现"
946,reward,re 表示 一再，重新,"n.报酬,奖金;vt.酬劳,奖赏"
947,seal,se 表示 分开，离开，区别开,"n.封铅,封条,印,图章,密封;vt.封,密封;n.海豹,海豹毛皮"
948,secondary,se 表示 分开，离开，区别开,"adj.次要的,二级的,中级的,第二的"
949,sector,se 表示 分开，离开，区别开,"n.部分,部门,[计]扇区,地区,象限,扇形;v.使分成部分,把...分成扇形"
950,security,se 表示 分开，离开，区别开,n.安全
951,segment,se 表示 分开，离开，区别开,"n.段,节,片断;v.分割"
952,select,se 表示 分开，离开，区别开,"vt.选择,挑选;adj.精选的"
953,selfish,se 表示 分开，离开，区别开,adj.自私的
954,semiconductor,semi 表示 半,n.[物]半导体
955,seminar,se 表示 分开，离开，区别开,"n.研究会,讨论发表会"
956,senator,se 表示 分开，离开，区别开,"n.参议员,(大学的)评议员,(古罗马的)元老院议员"
957,sensation,se 表示 分开，离开，区别开,"n.感觉,感情,感动,耸人听闻的"
958,sensitive,se 表示 分开，离开，区别开,"adj.敏感的,灵敏的,感光的"
959,sequence,se 表示 分开，离开，区别开,"n.次序,顺序,序列"
960,serial,se 表示 分开，离开，区别开,adj.连续的
961,session,se 表示 分开，离开，区别开,"n.会议,开庭"
962,setting,se 表示 分开，离开，区别开,"n.安置,安装,(太阳)落山,(固定东西的)框架,底座"
963,settlement,se 表示 分开，离开，区别开,"n.沉降,解决,结算,殖民,殖民地"
964,sew,se 表示 分开，离开，区别开,"v.缝制,缝纫,缝合"
965,stereo,stereo 表示 立体,"n.立体声系统,立体声,[印]铅版,立体照片;adj.立体的,立体感觉的"
966,subject,sub 表示 在下面，次一等，副手,"n.题目,主题,科目,学科,国民,[语法]主语;adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的;vt.使屈从于...,使隶属"
967,subjective,sub 表示 接近，靠近,"adj.主观的,个人的"
968,submerge,sub 表示 在下面，次一等，副手,"v.浸没,淹没,掩没;vi.潜水"
969,submit,sub 表示 接近，靠近,"v.(使)服从,(使)顺从;vt.提交,递交"
970,subscribe,sub 表示 在下面，次一等，副手,"v.捐款,订阅,签署(文件),赞成,预订"
971,subsequent,sub 表示 接近，靠近,"adj.后来的,并发的"
972,subsidy,sub 表示 在下面，次一等，副手,"n.补助金,津贴"
973,substance,sub 表示 接近，靠近,"n.物质,实质,主旨"
974,substitute,sub 表示 在下面，次一等，副手,"n.代用品,代替者,替代品;v.代替,替换,替代"
975,subtle,sub 表示 接近，靠近,"adj.狡猾的,敏感的,微妙的,精细的,稀薄的"
976,suburb,sub 表示 在下面，次一等，副手,"n.市郊,郊区"
977,subway,sub 表示 接近，靠近,"n.地道,<美>地铁"
978,succession,suc 等辅音重复表示 在...下面,"n.连续,继承,继任,演替,[农业]轮栽,连续性"
979,successor,suc 等辅音重复表示 在...下面,"n.继承者,接任者,后续的事物"
980,suffer,suf 等辅音重复表示 在...下面,"vt.遭受,经历,忍受;vi.受痛苦,受损害"
981,sufficient,suf 等辅音重复表示 在...下面,"adj.充分的,足够的"
982,superb,super 表示 在...上面,"adj.庄重的,堂堂的,华丽的,极好的"
983,superficial,super 表示 超级，超过，过度,"adj.表面的,肤浅的,浅薄的"
984,superintendent,sup 等辅音重复表示 在...下面,"n.主管,负责人,指挥者,管理者"
985,superiority,super 表示 在...上面,"n.优越,高傲"
986,supersonic,super 表示 超级，超过，过度,"adj.超音波的;n.超声波,超声频"
987,supervise,sup 等辅音重复表示 在...下面,"v.监督,管理,指导"
988,supplementary,sup 等辅音重复表示 在...下面,"n.(supplementaries)增补者,增补物;adj.附助的"
989,support,sup 等辅音重复表示 在...下面,"vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受;n.支撑,支持,支援,维持,赡养,支持者,支柱"
990,suppress,sup 等辅音重复表示 在...下面,"vt.镇压,抑制,查禁,使止住"
991,surge,sur 等辅音重复表示 在...下面,"n.巨涌,汹涌,澎湃;vi.汹涌,澎湃,振荡,滑脱,放松;vt.使汹涌奔腾,急放"
992,surgeon,sur 辅音不重复表示 超过，在上面,n.外科医生
993,surpass,sur 等辅音重复表示 在...下面,"vt.超越,胜过"
994,surplus,sur 辅音不重复表示 超过，在上面,"n.剩余,过剩,[会计]盈余;adj.过剩的,剩余的;vt.转让,卖掉"
995,surround,sur 等辅音重复表示 在...下面,"vt.包围,环境;v.围绕"
996,surrounding,sur 辅音不重复表示 超过，在上面,"n.围绕物,环境;adj.周围的"
997,survival,sur 等辅音重复表示 在...下面,"n.生存,幸存,残存,幸存者,残存物"
